# Nikon D750 Capabilities (Merged, Deduplicated)
# Source: CameraCapabilities.txt, D750Capabilities.txt, D750Capabilities2.txt
# Note: Lines consolidated and duplicate entries removed.

ID: kNkMAIDCapability_UserMode2, Description: User Mode2, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_AFModeAtLiveView, Description: AF Mode At Live View, Type: kNkMAIDCapType_Enum, Operations: 14
ID: kNkMAIDCapability_WBAutoType, Description: WB Auto Type, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_TerminateCapture, Description: Terminate Capture, Type: kNkMAIDCapType_Generic, Operations: 0
ID: kNkMAIDCapability_EffectMode, Description: Effect Mode, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_HDRMode, Description: HDR Mode, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_HDRSmoothing, Description: HDR Smoothing, Type: kNkMAIDCapType_Unsigned, Operations: 18
ID: kNkMAIDCapability_BlinkingStatus, Description: Blinking Status, Type: kNkMAIDCapType_Unsigned, Operations: kNkMAIDCapOperation_Get
ID: kNkMAIDCapability_WBTuneColorTempEx, Description: WBTune Color Temp Ex, Type: kNkMAIDCapType_Range, Operations: 6
ID: kNkMAIDCapability_WBPresetProtect1, Description: WBPreset Protect1, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBPresetProtect2, Description: WBPreset Protect2, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBPresetProtect3, Description: WBPreset Protect3, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBPresetProtect4, Description: WBPreset Protect4, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBPresetProtect5, Description: WBPreset Protect5, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_WBPresetProtect6, Description: WBPreset Protect6, Type: kNkMAIDCapType_Unsigned, Operations: 22
ID: kNkMAIDCapability_ISOAutoShutterTimeAutoValue, Description: ISO Auto Shutter Time Auto Value, Type: kNkMAIDCapType_Range, Operations: kNkMAIDCapOperation_Get
